"neutral,training"
"neutral,Good night #Twitter and #TheLegionoftheFallen.  5:45am cimes awfully early!"
"neutral,sanpdeal"
"neutral,i want a gionne m5 mobile plz send details about it"
"neutral,normal  When will you announce LeEco day winner of 25 Feb????????"
"neutral,travelling"
"neutral,mi run pace #nikeplus"
"ProductIssue,fake"
"ProductIssue,duplicate stop"
"ProductIssue,damage"
"ProductIssue,wrong different"
"negative,fraud"
"negative,stupid"
"negative,disapointed"
"negative,cheater"
"urgent,delay"
"urgent,cancel"
"urgent,order number  "
"urgent,refund"
"positive,good"
"positive,best"
"positive,thanks tnx thank you"
"positive,awesome"
